"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","428","TS-EB-SB-PRODUCTS-0091: Send Funds via Local Fund Transfer v1.0 _Get Supported Banks and Wallets API_Verify when the “Transfer Network” (channel) is set to PESONet, the API returns only Financial Institutions that support PESONet transfers","chromium","2026-08-04","passed","2026-08-04","Sandbox - Bank List API Test Suite","SBBankList.spec.ts","",""
"","303","TS-EB-SB-PRODUCTS-0094: Send Funds via Local Fund Transfer v1.0_Get Supported Banks and Wallets API_Verify failed GET request when api-key is null/missing","chromium","2026-08-04","failed","2026-08-04","Sandbox - Bank List API Test Suite","SBBankList.spec.ts","",""
"","479","TS-EB-SB-PRODUCTS-0092: Send Funds via Local Fund Transfer v1.0 _Get Supported Banks and Wallets API_Verify when the “Transfer Network” (channel) is set to specific and API returns only Financial Institutions that support both transfers","chromium","2026-08-04","passed","2026-08-04","Sandbox - Bank List API Test Suite","SBBankList.spec.ts","",""
"","488","TS-EB-SB-PRODUCTS-0093: Send Funds via Local Fund Transfer v1.0 _Get Supported Banks and Wallets API_Verify failed GET request when an unsupported channel value is provided","chromium","2026-08-04","failed","2026-08-04","Sandbox - Bank List API Test Suite","SBBankList.spec.ts","",""
"","485","TS-EB-SB-PRODUCTS-0088: Send Funds via Local Fund Transfer v1.0 _Get Supported Banks and Wallets API_Verify successful GET request of Get Supported Banks and Wallets API","chromium","2026-08-04","passed","2026-08-04","Sandbox - Bank List API Test Suite","SBBankList.spec.ts","",""
"","180","TS-EB-SB-PRODUCTS-0096: Send Funds via Local Fund Transfer v1.0_Get Supported Banks and Wallets API_Verify failed GET request when api-key is incorrect","chromium","2026-08-04","failed","2026-08-04","Sandbox - Bank List API Test Suite","SBBankList.spec.ts","",""
"","209","TS-EB-SB-PRODUCTS-0098: Send Funds via Local Fund Transfer v1.0_Get Supported Banks and Wallets API_Verify failed GET request when application is not subscribed to the API product","chromium","2026-08-04","failed","2026-08-04","Sandbox - Bank List API Test Suite","SBBankList.spec.ts","",""
"","404","TS-EB-SB-PRODUCTS-0101: Send Funds via Local Fund Transfer v1.0_Get Supported Banks and Wallets API_Verify response processsing time of failed GET request of Get Supported Banks and Wallets API","chromium","2026-08-04","failed","2026-08-04","Sandbox - Bank List API Test Suite","SBBankList.spec.ts","",""
"","406","TS-EB-SB-PRODUCTS-0100: Send Funds via Local Fund Transfer v1.0_Get Supported Banks and Wallets API_Verify response processsing time of successful GET request of Get Supported Banks and Wallets API","chromium","2026-08-04","passed","2026-08-04","Sandbox - Bank List API Test Suite","SBBankList.spec.ts","",""
"","651","TS-EB-SB-PRODUCTS-0090: Send Funds via Local Fund Transfer v1.0 _Get Supported Banks and Wallets API_Verify when the “Transfer Network” (channel) is set to Instapay, the API returns only Financial Institutions that support Instapay transfers","chromium","2026-08-04","passed","2026-08-04","Sandbox - Bank List API Test Suite","SBBankList.spec.ts","",""
"","420","TS-EB-SB-PRODUCTS-0095: Send Funds via Local Fund Transfer v1.0_Get Supported Banks and Wallets API_Verify failed GET request when partnerID is null/missing","chromium","2026-08-04","failed","2026-08-04","Sandbox - Bank List API Test Suite","SBBankList.spec.ts","",""
"","540","TS-EB-SB-PRODUCTS-0089: Send Funds via Local Fund Transfer v1.0 _Get Supported Banks and Wallets API_Verify when Optional field ""Transfer Network"" (channel) is not provided to filter Financial Institutions","chromium","2026-08-04","passed","2026-08-04","Sandbox - Bank List API Test Suite","SBBankList.spec.ts","",""
"","398","TS-EB-SB-PRODUCTS-0099: Send Funds via Local Fund Transfer v1.0_Get Supported Banks and Wallets API_Verify disabled institutions are clearly indicated and not misrepresented as available","chromium","2026-08-04","passed","2026-08-04","Sandbox - Bank List API Test Suite","SBBankList.spec.ts","",""
"","192","TS-EB-SB-PRODUCTS-0097: Send Funds via Local Fund Transfer v1.0_Get Supported Banks and Wallets API_Verify failed GET request when partnerid is incorrect","chromium","2026-08-04","failed","2026-08-04","Sandbox - Bank List API Test Suite","SBBankList.spec.ts","",""
